"","type1218","name","value"
"1","Not vulnerable","count",151
"2","Not vulnerable","mean_chg1218_tct_multunit",0.282816568995085
"3","Not vulnerable","min_chg1218_tct_multunit",-10.8183079056865
"4","Not vulnerable","max_chg1218_tct_multunit",16.3936243985819
"5","Not vulnerable","sd_chg1218_tct_multunit",3.91519974639407
"6","Not vulnerable","mean_chg1218_tct_vacant",0.0414163613854451
"7","Not vulnerable","min_chg1218_tct_vacant",-12.4810606060606
"8","Not vulnerable","max_chg1218_tct_vacant",12.3052959501558
"9","Not vulnerable","sd_chg1218_tct_vacant",3.29838642285093
"10","Not vulnerable","mean_tct_newbuild18",2.07929183986733
"11","Not vulnerable","min_tct_newbuild18",0
"12","Not vulnerable","max_tct_newbuild18",16.739203213927
"13","Not vulnerable","sd_tct_newbuild18",3.43343393094243
"14","Not vulnerable","mean_chg1218_tct_singfam",-0.399746174128069
"15","Not vulnerable","min_chg1218_tct_singfam",-16.1069904449503
"16","Not vulnerable","max_chg1218_tct_singfam",11.9868550887303
"17","Not vulnerable","sd_chg1218_tct_singfam",4.02053283010241
"18","Not vulnerable","mean_chg1218_tct_medhome_pct",2.65894617796693
"19","Not vulnerable","min_chg1218_tct_medhome_pct",-23.5089476593638
"20","Not vulnerable","max_chg1218_tct_medhome_pct",31.8055739813378
"21","Not vulnerable","sd_chg1218_tct_medhome_pct",8.17621263230765
"22","Not vulnerable","mean_chg1218_tct_renters",0.281319926168256
"23","Not vulnerable","min_chg1218_tct_renters",-17.5967091130887
"24","Not vulnerable","max_chg1218_tct_renters",13.2130566588116
"25","Not vulnerable","sd_chg1218_tct_renters",5.64261066574614
"26","Not vulnerable","mean_chg1218_tct_medrent_pct",18.9706965700485
"27","Not vulnerable","min_chg1218_tct_medrent_pct",-44.5838870721481
"28","Not vulnerable","max_chg1218_tct_medrent_pct",281.93771237895
"29","Not vulnerable","sd_chg1218_tct_medrent_pct",32.1798251688207
"30","Not vulnerable","mean_chg1218_tct_housdens",-0.276706502201184
"31","Not vulnerable","min_chg1218_tct_housdens",-10.0086703232083
"32","Not vulnerable","max_chg1218_tct_housdens",24.2568381452564
"33","Not vulnerable","sd_chg1218_tct_housdens",4.34957799152829
"34","Not vulnerable","mean_chg1218_tct_rentburd",-1.21480368844141
"35","Not vulnerable","min_chg1218_tct_rentburd",-100
"36","Not vulnerable","max_chg1218_tct_rentburd",100
"37","Not vulnerable","sd_chg1218_tct_rentburd",25.1981331880902
"38","Not vulnerable","mean_chg1218_tct_diffhou",0.140517163288586
"39","Not vulnerable","min_chg1218_tct_diffhou",-22.2480973281187
"40","Not vulnerable","max_chg1218_tct_diffhou",13.2226522493774
"41","Not vulnerable","sd_chg1218_tct_diffhou",5.23497524885254
"42","Not vulnerable","mean_chg1218_tct_transit",0.768850179730651
"43","Not vulnerable","min_chg1218_tct_transit",-15.7232315210646
